변수,비표준화 회귀계수,표준오차,t값,p값
(상수),-162608.18195633776,4987.623707141946,-32.602335601920736,7.814604991377144e-233
전용면적,1303.2968388981446,2.7732983699774794,469.94468860872263,0.0
층,1075.3529052491788,13.15542154900288,81.74218524610377,0.0
건물연령,-351.66473382418394,7.994882528390685,-43.98622901279472,0.0
강남구분,61740.824282600275,293.3257626167719,210.48551525719287,0.0
초등학교수,-1580.383356916121,43.04160034201073,-36.71757890873748,1.2198524745828436e-294
중학교수,426.5905925523467,70.77934339241656,6.027049307129522,1.671283713670431e-09
고등학교수,683.4835683690408,55.415706423198905,12.333751791403875,6.050353745715728e-35
CCTV수,-45.67897715476222,0.6577284658595373,-69.44959740349341,0.0
백화점수,382.83613541888013,3.2496366837095154,117.80890378855096,0.0
지하철역수,4950.197464211719,84.87003417522133,58.326799468368534,0.0
기준금리,10775.58220177089,748.5043869146082,14.396151031510527,5.624077699684771e-47
CD금리,-17199.49324780135,721.0812800123841,-23.85236411560422,1.1771932078541921e-125
소비자물가지수,457.7878101961731,72.65318552472277,6.301001214054061,2.9604148545994953e-10
M2,0.03710308730006843,0.0008251259473964479,44.96657439648001,0.0
