school_name,school_type,gu,dong,address,address_detail,founded,lat,lng,geocode_source
서울안암초등학교,초등학교,성북구,안암동,서울특별시 성북구 고려대로7가길 39,(안암동2가/ 서울안암초등학교),19560324,37.5871586956296,127.022098883314,addr
서울안천초등학교,초등학교,금천구,독산동,서울특별시 금천구 한내로 69-16,/ 서울안천초등학교 (독산동),19910121,37.4587578075219,126.88839136672,addr
서울안평초등학교,초등학교,동대문구,장안동,서울특별시 동대문구 장한로14길 61,/ 서울안평초등학교 (장안동),19900716,37.565968213548,127.072033422513,addr
서울압구정초등학교,초등학교,강남구,압구정동,서울특별시 강남구 압구정로39길 29,(압구정동/압구정초등학교),19760820,37.5317391125935,127.030841741797,addr
서울애화학교,특수학교,강북구,미아동,서울특별시 강북구 솔매로52길 31,/ 서울애화학교 (미아동),19751201,37.6252495068956,127.029057335751,addr
서울양강초등학교,초등학교,양천구,신월동,서울특별시 양천구 오목로 101,(신월동/ 서울양강초등학교),19870423,37.5241103465762,126.847375305566,addr
서울양남초등학교,초등학교,광진구,자양동,서울특별시 광진구 뚝섬로64길 71,/ (자양동/ 서울양남초등학교) ,19831203,37.5311232360546,127.089234331023,addr
서울양동초등학교,초등학교,양천구,신정동,서울특별시 양천구 오목로23길 24,(신정동),19720811,37.5258482641162,126.851240194989,addr
서울양명초등학교,초등학교,양천구,신정동,서울특별시 양천구 중앙로 204,(신정동/양명초등학교),19821110,37.516374951495,126.856634868655,addr
서울양목초등학교,초등학교,양천구,신정동,서울특별시 양천구 목동로11길 30,(신정동/ 서울양목초등학교),19800417,37.5238792766238,126.861669190913,addr
서울양원숲초등학교,초등학교,중랑구,망우동,서울특별시 중랑구 양원역로 95,(망우동/ 서울양원숲초등학교),20220301,37.6090497375586,127.105433722535,addr
서울양원초등학교,초등학교,양천구,신월동,서울특별시 양천구 화곡로 16,(신월동/서울양원초등학교),19901201,37.5382284100068,126.823105084888,addr
서울양재초등학교,초등학교,서초구,양재동,서울특별시 서초구 바우뫼로18길 14,(양재동/양재초등학교),19830719,37.4741653841614,127.03189250195,addr
서울양전초등학교,초등학교,강남구,,서울특별시 강남구 개포로 513,/ 서울양전초등학교 ,19881221,37.4902478541395,127.069170862479,addr
서울양진초등학교,초등학교,광진구,광장동,서울특별시 광진구 워커힐로 32,(광장동/양진초중학교),20050301,37.5449782076528,127.098714317037,addr
서울양천초등학교,초등학교,강서구,가양동,서울특별시 강서구 양천로 329,(가양동/양천초등학교),19000401,37.5701881708645,126.839539660332,addr
서울양화초등학교,초등학교,양천구,목동,서울특별시 양천구 목동중앙북로16길 57,(목동/서울양화초등학교),19780803,37.5436692981533,126.873986042971,addr
서울어울초등학교,초등학교,은평구,녹번동,서울특별시 은평구 통일로 650,/ 서울어울초등학교 (녹번동),20180901,37.6065633137733,126.935058620612,addr
서울언남초등학교,초등학교,서초구,내곡동,서울특별시 서초구 헌릉로8길 42,(내곡동),19340416,37.4541133292306,127.061436582525,addr
서울언북초등학교,초등학교,강남구,청담동,서울특별시 강남구 삼성로135길 42,(청담동/언북초등학교),19450401,37.520125172379,127.044715764538,addr
서울언주초등학교,초등학교,강남구,도곡동,서울특별시 강남구 남부순환로363길 19,(도곡동/언주초등학교),19270916,37.4863219964306,127.03679299115,addr
서울여의도초등학교,초등학교,영등포구,여의도동,서울특별시 영등포구 여의대방로 439,/ 서울여의도초등학교 (여의도동),19711101,37.5232048215986,126.93679444014,addr
서울여자고등학교,고등학교,마포구,염리동,서울특별시 마포구 백범로25길 34,/ 서울여자고등학교 (염리동),19580415,37.5478000312208,126.94902525222,addr
서울여자상업고등학교,고등학교,관악구,봉천동,서울특별시 관악구 관악로 85,(봉천동/서울여자상업고등학교),19260929,37.4729045674501,126.950918062755,addr
서울여자중학교,중학교,마포구,염리동,서울특별시 마포구 백범로25길 34,/ 서울여자중학교 (염리동),19550302,37.5478000312208,126.94902525222,addr
서울역삼초등학교,초등학교,강남구,역삼동,서울특별시 강남구 강남대로66길 21,(역삼동/역삼초등학교),19780721,37.4931444060362,127.032564910969,addr
서울역촌초등학교,초등학교,은평구,역촌동,서울특별시 은평구 은평로3길 25,/ 서울역촌초등학교 (역촌동/서울역촌초등학교),19721201,37.6015841686977,126.913928033442,addr
서울연가초등학교,초등학교,서대문구,남가좌동,서울특별시 서대문구 증가로12가길 49-50,/ 연가초등학교 (남가좌동),19721130,37.5795632014616,126.917329192961,addr
서울연광초등학교,초등학교,은평구,불광동,서울특별시 은평구 연서로35길 37,/ 서울연광초등학교 (불광동),20040301,37.6236487604699,126.923909005211,addr
서울연신초등학교,초등학교,은평구,불광동,서울특별시 은평구 연서로 347,(불광동),19760318,37.6260599638981,126.927751281025,addr
서울연은초등학교,초등학교,은평구,응암동,서울특별시 은평구 백련산로2길 35,/ 서울연은초등학교 (응암동),19831020,37.5905122161631,126.925112608529,addr
서울연지초등학교,초등학교,노원구,월계동,서울특별시 노원구 월계로55길 48,(월계동),19980301,37.6331961990879,127.059550025404,addr
서울연천초등학교,초등학교,은평구,불광동,서울특별시 은평구 연서로34길 22,/ 연천초등학교 (불광동),19841205,37.6213492886599,126.929917884841,addr
서울연촌초등학교,초등학교,노원구,하계동,서울특별시 노원구 공릉로58길 36,/ 서울연촌초등학교 (하계동),19451110,37.6344239191317,127.072522941451,addr
서울연희초등학교,초등학교,서대문구,연희동,서울특별시 서대문구 연희로 136,(연희동/ 서울연희초등학교),19681207,37.5690459271047,126.934142303217,addr
서울염경초등학교,초등학교,강서구,염창동,서울특별시 강서구 양천로69길 49,(염창동/서울염경초등학교),20050901,37.5550006717487,126.871204647976,addr
서울염동초등학교,초등학교,강서구,염창동,서울특별시 강서구 양천로73길 17,(염창동/염동초등학교),19970516,37.5520954793159,126.872350948978,addr
서울염리초등학교,초등학교,마포구,염리동,서울특별시 마포구 토정로37길 37,/ 서울염리초등학교 (염리동),19830803,37.5425709323083,126.946247603396,addr
서울염창초등학교,초등학교,강서구,염창동,서울특별시 강서구 양천로 646-28,(염창동/ 염창초등학교),19630518,37.5532261352883,126.867600184199,addr
서울영남초등학교,초등학교,금천구,독산동,서울특별시 금천구 문성로 62-15,(독산동),19560326,37.4758806998687,126.909922783649,addr
서울영도초등학교,초등학교,양천구,목동,서울특별시 양천구 목동중앙로 70,/ 서울영도초등학교 (목동/서울영도초등학교),19861004,37.5359499494616,126.871942644571,addr
서울영동초등학교,초등학교,영등포구,당산동,서울특별시 영등포구 국회대로53길 20,/ (당산동/ 영동초등학교) (당산동),19560517,37.5270069102324,126.907703382657,addr
서울영등포초등학교,초등학교,영등포구,문래동,서울특별시 영등포구 경인로 756,(문래동1가),19451101,37.5129480156762,126.898260025571,addr
서울영림초등학교,초등학교,영등포구,대림동,서울특별시 영등포구 시흥대로173길 14,/ 서울영림초등학교 (대림동),19820707,37.4873460122893,126.902516130281,addr
서울영문초등학교,초등학교,영등포구,문래동,서울특별시 영등포구 문래로 56,/ 서울영문초등학교 (문래동6가),20050105,37.5198074103506,126.887589090951,addr
