BPLCNM,RDNWHLADDR,SITEWHLADDR,X,Y,UPTAENM
유키모찌 신세계백화점 타임스퀘어점,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어,191385.057392247,446098.555926507,백화점
옥희분식,"서울특별시 영등포구 경인로 846, 롯데백화점 지하1층 (영등포동)",서울특별시 영등포구 영등포동 618-496 영등포 민자역사 ,191741.345847708,445970.307641467,백화점
아카렌가 베이커리,"서울특별시 영등포구 영중로 9, 신세계백화점 타임스퀘어점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5 신세계백화점 ,191581.500265536,446108.807192753,백화점
씨유 목동2단지점,"서울특별시 양천구 목동서로 70, 관리동 110~115호 (목동, 목동신시가지아파트2단지)",서울특별시 양천구 목동 902 목동신시가지아파트2단지,188965.738829492,448365.713974147,백화점
오니기리&면공방,"서울특별시 영등포구 경인로 846, 롯데백화점영등포점  3층 (영등포동)",서울특별시 영등포구 영등포동 618-496 영등포 민자역사 ,191741.345847708,445970.307641467,백화점
이십사케이커피(24k coffee),"서울특별시 영등포구 양산로 90-5, 1층 (당산동2가)",서울특별시 영등포구 당산동2가 161-11 ,190474.879851688,446896.116043335,백화점
팥이재,"서울특별시 영등포구 영중로 9, 신세계백화점 리빙관 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 ,191581.500265536,446108.807192753,백화점
제주흑돈카츠,"서울특별시 영등포구 영중로 9, 신세계백화점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5 신세계백화점 ,191581.500265536,446108.807192753,백화점
오설록,"서울특별시 영등포구 영중로 15, 신세계타임스퀘어점 패션관 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
앤티앤스,"서울특별시 영등포구 경인로 846, 롯데백화점 영등포점 지하1층 (영등포동)",서울특별시 영등포구 영등포동 618-496번지 영등포 민자역사 ,191741.345847708,445970.307641467,백화점
창화당,"서울특별시 영등포구 영중로 9, 지하1층 (영등포동4가, 신세계백화점)",서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 지하1층 ,191581.500265536,446108.807192753,백화점
(주)이기스,"서울특별시 영등포구 경인로 846, 10층 (영등포동, 롯데백화점 영등포점)",서울특별시 영등포구 영등포동 618-496 롯데백화점 영등포점 10층 ,191741.345847708,445970.307641467,백화점
모이또피자,"서울특별시 영등포구 경인로 862 (영등포동,롯데백화점 지하1층)",서울특별시 영등포구 영등포동 618-496번지 롯데백화점 지하1층 ,191741.345847708,445970.307641467,백화점
아를르코리아,"서울특별시 영등포구 영중로 9, 지하1층 (영등포동4가, 신세계백화점 영등포점 )",서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 영등포점 지하1층 ,191581.500265536,446108.807192753,백화점
비알코리아(주)배스킨라빈스타임스퀘어점,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
샤브진,"서울특별시 영등포구 경인로 862 (영등포동,롯데백화점 지하1층)",서울특별시 영등포구 영등포동 618-496번지 롯데백화점 지하1층 ,191741.345847708,445970.307641467,백화점
(주)나무,"서울특별시 영등포구 영중로 15 (영등포동4가, 신세계백화점 지하1층)",서울특별시 영등포구 영등포동4가 442-1번지 신세계백화점 지하1층 ,191527.685754001,446151.005615082,백화점
미이팅,"서울특별시 영등포구 영중로 9, 신세계백화점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 ,191581.500265536,446108.807192753,백화점
미향포,"서울특별시 영등포구 영중로 15 (영등포동4가,신세계백화점 영등포점 지하1층)",서울특별시 영등포구 영등포동4가 442-1번지 신세계백화점 영등포점 지하1층 ,191527.685754001,446151.005615082,백화점
(주)키커피코리아,"서울특별시 영등포구 영중로 15 (영등포동4가,신세계백화점 지하1층)",서울특별시 영등포구 영등포동4가 442-1번지 신세계백화점 지하1층 ,191527.685754001,446151.005615082,백화점
킹케밥,"서울특별시 영등포구 경인로 862 (영등포동,영등포롯데백화점 지하1층(일부))",서울특별시 영등포구 영등포동 618-496번지 영등포롯데백화점 지하1층(일부) ,191741.345847708,445970.307641467,백화점
철판미학,"서울특별시 영등포구 경인로 846 (영등포동, 롯데백화점 지하1층)",서울특별시 영등포구 영등포동 618-496 롯데백화점 지하1층 ,191741.345847708,445970.307641467,백화점
유토,"서울특별시 영등포구 경인로 846 (영등포동, 롯데백화점 지하1층)",서울특별시 영등포구 영등포동 618-496 롯데백화점 지하1층 ,191741.345847708,445970.307641467,백화점
야끼토리텐,"서울특별시 영등포구 경인로 846, 지하1층 (영등포동, 롯데백화점)",서울특별시 영등포구 영등포동 618-496번지 롯데백화점 지하1층 ,191741.345847708,445970.307641467,백화점
비스코티하우스,"서울특별시 영등포구 영중로 15 (영등포동4가,신세계영등포점 지하1층)",서울특별시 영등포구 영등포동4가 442-1번지 신세계영등포점 지하1층 ,191527.685754001,446151.005615082,백화점
(주)한국협농에프티씨,,서울특별시 영등포구 영등포동1가 618-496번지 롯데백화점 지하1층 ,,,백화점
에이니(EINI&CAFE 2B),"서울특별시 영등포구 경인로 846, 3층 (영등포동, 롯데백화점)",서울특별시 영등포구 영등포동 618-496번지 롯데백화점 3층 ,191741.345847708,445970.307641467,백화점
아뜨리네 도넛,"서울특별시 영등포구 영중로 9 (영등포동4가,지하1층)",서울특별시 영등포구 영등포동4가 434-5번지 지하1층 ,191581.500265536,446108.807192753,백화점
베이크드아를르,"서울특별시 영등포구 영중로 9 (영등포동4가, 신세계백화점 지하1층)",서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 지하1층 ,191581.500265536,446108.807192753,백화점
키미김밥,"서울특별시 영등포구 영중로 15, 신세계타임스퀘어점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
델리스타,"서울특별시 영등포구 영중로 9 (영등포동4가, 신세계백화점 지하1층 행사장)",서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 지하1층 행사장 ,191581.500265536,446108.807192753,백화점
(주)한정선,"서울특별시 영등포구 여의대로 108, 파크원 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
우나하우스,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
셰프초이스 시그니처,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점,205210.358779172,445154.42225208,백화점
(주)수화염 롯데백화점 영등포점,"서울특별시 영등포구 경인로 862 (영등포동,롯데백화점 지하1층)",서울특별시 영등포구 영등포동 618-496번지 롯데백화점 지하1층 ,191741.345847708,445970.307641467,백화점
카페리앙,"서울특별시 영등포구 경인로 846 (영등포동, 롯데백화점 8층)",서울특별시 영등포구 영등포동 618-496 롯데백화점 8층,191741.345847708,445970.307641467,백화점
메종원스이어 타임스퀘어점,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
주식회사 파아프,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
강남쌀국수 영등포롯데빅마켓점,"서울특별시 영등포구 영중로 125, 롯데마트 2층 (영등포동8가)",서울특별시 영등포구 영등포동8가 62-1 롯데마트 ,191503.386111551,447289.548355449,백화점
(주)풀무원푸드앤컬처신세계명인만두,"서울특별시 영등포구 영중로 9, 신세계백화점 B관  8층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5 신세계백화점 B관 ,191581.500265536,446108.807192753,백화점
상인,"서울특별시 영등포구 경인로 846, 영등포 민자역사 1층 (영등포동)",서울특별시 영등포구 영등포동 618-496 영등포 민자역사 ,191741.345847708,445970.307641467,백화점
앤티앤스,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
방배김밥,"서울특별시 동작구 동작대로27길 59-16, 동성빌딩 1층 (사당동)",서울특별시 동작구 사당동 127-27 동성빌딩 ,198018.748059611,442882.056804992,백화점
주식회사 디피오리,"서울특별시 영등포구 영중로 15, 신세계백화점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 신세계백화점,191385.057392247,446098.555926507,백화점
교토 오니마루(KYOTO ONIMARU),"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점)",서울특별시 서초구 반포동 19-3,200250.447804795,444683.220506107,백화점
예찬,"서울특별시 관악구 봉천로 209, 롯데백화점 B2층 (봉천동)",서울특별시 관악구 봉천동 729-22 롯데백화점,193301.885808714,443151.561302292,백화점
삼청당 현대백화점 천호점,"서울특별시 강동구 천호대로 1005, 현대백화점 지2층 (천호동)",서울특별시 강동구 천호동 572 현대백화점,210929.919693661,448537.406728283,백화점
스무디킹 뉴코아 강남점,"서울특별시 서초구 잠원로 51, 지하 1층 (잠원동, 뉴코아 강남점)",서울특별시 서초구 잠원동 70-2번지 지하 1층 ,200576.608647619,445241.8984183,백화점
쁘띠아자뷰,"서울특별시 서초구 신반포로 176, 신세계백화점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,200250.447804795,444683.220506107,백화점
라메종뒤쇼콜라,"서울특별시 서초구 신반포로 176, 지하 1층 (반포동, 신세계백화점 강남점)",서울특별시 서초구 반포동 19-3번지 신세계백화점 강남점 지하 1층 ,200250.447804795,444683.220506107,백화점
부창제과 강남신세계점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
"스시도쿠 신세계백화점 강남점, 점심저녁의 강자","서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
방촌시장 떡볶이,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",서울특별시 서초구 반포동 19-3 신세계백화점 지하1층,200250.447804795,444683.220506107,백화점
위키그룹,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점강남점 지하1층)",서울특별시 서초구 반포동 19-3번지 신세계백화점강남점 지하1층 ,200250.447804795,444683.220506107,백화점
그린파이브 강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
추박사라면핫도그,"서울특별시 서초구 신반포로 176, 신세계백화점강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3번지 지하1층 ,200250.447804795,444683.220506107,백화점
GUOx여경래,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 지하1층,200250.447804795,444683.220506107,백화점
이안만두,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
하나하나,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 )",서울특별시 서초구 반포동 19-3 신세계백화점 지하1층,200250.447804795,444683.220506107,백화점
Yummimeal Baby Kitchen (얌이밀베이비키친),"서울특별시 서초구 신반포로 176, 10층 (반포동, 신세계백화점 강남점)",서울특별시 서초구 반포동 19-3 10층 신세계백화점 강남점 ,200250.447804795,444683.220506107,백화점
고래사 신세계(백)강남점,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점)",서울특별시 서초구 반포동 19-3번지 지하1층 신세계백화점 강남점 ,200250.447804795,444683.220506107,백화점
한입원바이트,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점)",서울특별시 서초구 반포동 19-3번지 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
에피스틱,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점강남점)",서울특별시 서초구 반포동 19-3번지 신세계백화점강남점 지하1층 ,200250.447804795,444683.220506107,백화점
스트롭와플하우스,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
(주)동해식품(집밥예찬),"서울특별시 서초구 서초대로38길 12, 지하2층 (서초동, 롯데마트 서초점 )",서울특별시 서초구 서초동 1498-5번지 롯데마트 서초점 지하2층 ,200440.010811975,443124.671418408,백화점
보일스커피,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 강남신세계백화점)","서울특별시 서초구 반포동 19-3번지 신세계 백화점, 지하1층 ",200250.447804795,444683.220506107,백화점
델리카 스타(Delica star),"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 식품관 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 식품관,200250.447804795,444683.220506107,백화점
주식회사 디엔에스,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점강남점)",서울특별시 서초구 반포동 19-3번지 신세계백화점강남점 지하1층 ,200250.447804795,444683.220506107,백화점
패트릭스와플,"서울특별시 서초구 신반포로 176, 신세계백화점 식품관 지하1층 (반포동)",서울특별시 서초구 반포동 19-3번지 신세계백화점 식품관 ,200250.447804795,444683.220506107,백화점
오설록,"서울특별시 서초구 신반포로 176, 신세계백화점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,200250.447804795,444683.220506107,백화점
이새플러스 카페,"서울특별시 서초구 신반포로 176, 5층 (반포동, 신세계 강남점)",서울특별시 서초구 반포동 19-3번지 5층 ,200250.447804795,444683.220506107,백화점
나리꼬모 뉴코아 강남점,"서울특별시 서초구 잠원로 51, 뉴코아 아울렛 강남점 1관 지하1층 (잠원동)",서울특별시 서초구 잠원동 70-2 뉴코아백화점 ,200576.608647619,445241.8984183,백화점
쁘띠이쟈뷰,"서울특별시 서초구 신반포로 176, 신세계백화점 식품관 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 식품관 지하1층 ,200250.447804795,444683.220506107,백화점
코운코운,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
가리게트(GARIGUETTE),"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 센트럴시티 ,200250.447804795,444683.220506107,백화점
베이크 더 샵(BAKE the SHOP),"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 센트럴시티 ,200250.447804795,444683.220506107,백화점
한정선,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
르빵 신세계 강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 센트럴시티 ,200250.447804795,444683.220506107,백화점
호두 미나미호리에,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
비텔로 소띠,"서울특별시 서초구 신반포로 176, 신세계백화점  지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 지하1층 ,200250.447804795,444683.220506107,백화점
천우토탈 주식회사,"서울특별시 서초구 잠원로 51, 지하1층 (잠원동)",서울특별시 서초구 잠원동 70-2 지하1층 ,200576.608647619,445241.8984183,백화점
주식회사 맛플러스,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 키커피 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 센트럴시티 지하1층 ,200250.447804795,444683.220506107,백화점
플리퍼스,"서울특별시 서초구 신반포로 176, 1층 115호 (반포동)",서울특별시 서초구 반포동 19-3 1층 115호 ,200250.447804795,444683.220506107,백화점
오목집 신세계백화점 강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
주식회사 미도,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 센트럴시티 ,200250.447804795,444683.220506107,백화점
미르스타푸드,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 식품관 미트델리코너 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 식품관 미트델리코너 ,200250.447804795,444683.220506107,백화점
(주)소담재,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
수퍼 신세계 강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
글라스 빈 Glass bean,"서울특별시 서초구 신반포로 176, 센트럴시티 신세계백화점 식품관 B1층 (반포동)",서울특별시 서초구 반포동 19-3 센트럴시티 신세계백화점 식품관 B1층 ,200250.447804795,444683.220506107,백화점
위트앤미트 신세계백화점 강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 지하1층 ,200250.447804795,444683.220506107,백화점
덕덕덕,"서울특별시 서초구 잠원로 51, 뉴코아백화점 지하1층 (잠원동)",서울특별시 서초구 잠원동 70-2 지하1층 뉴코아백화점 ,200576.608647619,445241.8984183,백화점
주식회사 레꼴케이쿠,"서울특별시 서초구 신반포로 176, 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 지하1층 ,200250.447804795,444683.220506107,백화점
스타푸드,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
해방촌닭 신세계 강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 ,200250.447804795,444683.220506107,백화점
베즐리,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",서울특별시 강남구 압구정동 429 현대백화점본점 ,202358.505687227,447232.955697694,백화점
(주)리은푸드,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",서울특별시 강남구 대치동 937 롯데백화점 ,204669.543366778,443873.621189048,백화점
마스터키친,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",서울특별시 강남구 압구정동 429 현대백화점본점 ,202358.505687227,447232.955697694,백화점
행복한 김치,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점 ,205210.358779172,445154.42225208,백화점
행복한 김치,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",서울특별시 강남구 압구정동 429 현대백화점본점 ,202358.505687227,447232.955697694,백화점
대경쿠로다이,"서울특별시 강남구 테헤란로 517 (삼성동,지하1층)",서울특별시 강남구 삼성동 159-7 지하1층 ,205210.358779172,445154.42225208,백화점
대경쿠로다이,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점 지하1층)",서울특별시 강남구 압구정동 429번지 현대백화점 지하1층 ,202358.505687227,447232.955697694,백화점
후쿠야,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점무역센터점 지하1층)",서울특별시 강남구 삼성동 159-7번지 현대백화점무역센터점 지하1층 ,205210.358779172,445154.42225208,백화점
파롤앤랑그 갤러리아백화점 압구정점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",서울특별시 강남구 압구정동 494 갤러리아백화점 ,203470.848439305,447369.579851952,백화점
언니가 숨겨놓은 과자상자,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",서울특별시 강남구 압구정동 429 현대백화점본점 ,202358.505687227,447232.955697694,백화점
삼청당 현대백화점 미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점,202466.801084521,456227.571720914,백화점
쿠커피 롯데강남점,"서울특별시 강남구 도곡로 401 (대치동,롯데백화점 지하3층)",서울특별시 강남구 대치동 937-0 롯데백화점 지하3층 ,204669.543366778,443873.621189048,백화점
오차야미테,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",서울특별시 강남구 압구정동 494번지 갤러리아백화점 ,203470.848439305,447369.579851952,백화점
뜸들이다 소반,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점 ,205210.358779172,445154.42225208,백화점
시부야,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점 지하1층)",서울특별시 강남구 삼성동 159-7 현대백화점 지하1층 ,205210.358779172,445154.42225208,백화점
청냉면,"서울특별시 강남구 학동로 343 (논현동,지하1층)",서울특별시 강남구 논현동 119-0번지 지하1층 ,203522.611749323,446136.224971923,백화점
콜롬보,서울특별시 강남구 압구정로 343 (압구정동),서울특별시 강남구 압구정동 494-0번지 ,203470.848439305,447369.579851952,백화점
아띠오레,"서울특별시 강남구 압구정로 201 (압구정동,지하1층)",서울특별시 강남구 압구정동 456-0번지 지하1층 ,202485.226490575,447521.520319158,백화점
(주)오뎅도락,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점 식품관 지하1층)",서울특별시 강남구 삼성동 159-7 현대백화점 식품관 지하1층 ,205210.358779172,445154.42225208,백화점
아방가르드,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점)",서울특별시 강남구 삼성동 159-7번지 ,205210.358779172,445154.42225208,백화점
세영아이테크,"서울특별시 강남구 압구정로 407 (압구정동,지하1층)",서울특별시 강남구 압구정동 515-0번지 지하1층 ,203604.761651873,447316.222786487,백화점
제일,"서울특별시 강남구 도곡로 401, 22호 (대치동,그랜드백화)",서울특별시 강남구 대치동 937-0번지 그랜드백화   22호,204669.543366778,443873.621189048,백화점
타이쇼,"서울특별시 강남구 도곡로 401, 지하1층 (대치동, 롯데백화점)",서울특별시 강남구 대치동 937번지 롯데백화점 지하1층 ,204669.543366778,443873.621189048,백화점
키세키,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점)",서울특별시 강남구 압구정동 429번지 ,202358.505687227,447232.955697694,백화점
(주)한입원바이트,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점)",서울특별시 강남구 삼성동 159-7 ,205210.358779172,445154.42225208,백화점
프라자,서울특별시 강남구 영동대로 511 (삼성동),서울특별시 강남구 삼성동 159-1번지 ,205340.631121567,445354.571117445,백화점
무역센타현대백화점,"서울특별시 강남구 영동대로 511, 1호 (삼성동,한무쇼핑)",서울특별시 강남구 삼성동 159-1 한무쇼핑    1호,205340.631121567,445354.571117445,백화점
안젤로,"서울특별시 강남구 언주로30길 57, 상가동 지하1층 (도곡동, 신세계스타슈퍼)",서울특별시 강남구 도곡동 467-17번지 ,204749.304517964,443058.194678364,백화점
(주)랍스터바,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점본점)",서울특별시 강남구 압구정동 429번지 ,202358.505687227,447232.955697694,백화점
그라놀로지,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점 식품관)",서울특별시 강남구 압구정동 429번지 ,202358.505687227,447232.955697694,백화점
한국맥도날드(유) 코엑스점,"서울특별시 강남구 영동대로 513, 지하1층 (삼성동, 코엑스점)",서울특별시 강남구 삼성동 159 ,205130.591678902,445590.096837802,백화점
카페 에이치(현대백화점 무역센타점),"서울특별시 강남구 테헤란로 517, 7층 (삼성동, 현대백화점)",서울특별시 강남구 삼성동 159-7번지 ,205210.358779172,445154.42225208,백화점
경주빵(주)삼오물산,"서울특별시 강남구 테헤란로 517 (삼성동,지하1층)",서울특별시 강남구 삼성동 159-7 지하1층 ,205210.358779172,445154.42225208,백화점
카린토만주,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점 지하1층)",서울특별시 강남구 삼성동 159-7 현대백화점 지하1층 ,205210.358779172,445154.42225208,백화점
전주비빔밥,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점지하1층식품부)",서울특별시 강남구 삼성동 159-7 현대백화점지하1층식품부 ,205210.358779172,445154.42225208,백화점
(주)지노믹스,"서울특별시 강남구 도곡로 401 (대치동,롯데백화점 지하1층)",서울특별시 강남구 대치동 937번지 롯데백화점 지하1층 ,204669.543366778,443873.621189048,백화점
우츄진 강남롯데백화점점,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",서울특별시 강남구 대치동 937 롯데백화점 ,204669.543366778,443873.621189048,백화점
잇타이플러스,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",서울특별시 강남구 대치동 937 롯데백화점 ,204669.543366778,443873.621189048,백화점
팔팔주스,서울특별시 강남구 압구정로 165 (압구정동),서울특별시 강남구 압구정동 429번지 ,202358.505687227,447232.955697694,백화점
(주)코아인코포레이티드,"서울특별시 강남구 언주로30길 57 (도곡동,타워팰리스 지하1층)",서울특별시 강남구 도곡동 467-17 타워팰리스 지하1층 ,204749.304517964,443058.194678364,백화점
로하디,"서울특별시 강남구 테헤란로 517 (삼성동,지하1층)",서울특별시 강남구 삼성동 159-7 지하1층 ,205210.358779172,445154.42225208,백화점
버거프로젝트,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점 지하1층)",서울특별시 강남구 삼성동 159-7 현대백화점 지하1층 ,205210.358779172,445154.42225208,백화점
리안스베이글(주),"서울특별시 강남구 도곡로 401, 지하1층 B1호 (대치동, 롯데백화점)",서울특별시 강남구 대치동 937번지 ,204669.543366778,443873.621189048,백화점
파챠이교자,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점)",서울특별시 강남구 삼성동 159-7 ,205210.358779172,445154.42225208,백화점
바리,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점 ,205210.358779172,445154.42225208,백화점
아사이베리쿡,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점 무역센터점)",서울특별시 강남구 삼성동 159-7 현대백화점 무역센터점 지하1층 ,205210.358779172,445154.42225208,백화점
함흥면옥,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",서울특별시 강남구 대치동 937번지 롯데백화점 ,204669.543366778,443873.621189048,백화점
원기정,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점 무역센터점)",서울특별시 강남구 삼성동 159-7 ,205210.358779172,445154.42225208,백화점
레빗브레드,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점 ,205210.358779172,445154.42225208,백화점
