BPLCNM,RDNWHLADDR,SITEWHLADDR,X,Y,UPTAENM
바르도 롯데백화점 본점,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",서울특별시 중구 소공동 1 롯데백화점 지하1층 ,198259.65357739,451392.198218657,백화점
(주)승휘연,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점 지하1층)",서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,198263.90839194,450960.762964932,백화점
디케이트레이딩 모찌크림,,서울특별시 중구 소공동 1번지 롯데백화점 (지하1층) ,198259.65357739,451392.198218657,백화점
(주)해피레몬코리아 롯데본점,"서울특별시 중구 남대문로 81, 지하1층 (소공동)",서울특별시 중구 소공동 1 ,198259.65357739,451392.198218657,백화점
화미가,,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,198259.65357739,451392.198218657,백화점
화미가,"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점 본점 지하1층)",서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 지하1층 ,198263.90839194,450960.762964932,백화점
아라온(주),,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,,백화점
예전,,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,,백화점
뉴푸드유통,,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,,백화점
크레마 디 몬타냐,"서울특별시 중구 소공로 63, 신세계백화점  지하1층 (충무로1가)",서울특별시 중구 충무로1가 52-5번지 신세계백화점  지하1층 ,198263.90839194,450960.762964932,백화점
황가네 에프에스,"서울특별시 중구 퇴계로 77 (충무로1가,(지하1층))",서울특별시 중구 충무로1가 54번지 (지하1층) ,198253.896034899,450905.28446798,백화점
보보라보,"서울특별시 중구 남대문로 73 (남대문로2가,롯데백화점 애비뉴엘(지상3층))",서울특별시 중구 남대문로2가 130 롯데백화점 애비뉴엘(지상3층) ,198333.470885484,451313.412912492,백화점
가라망,"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점 본점 지하1층)",서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 지하1층 ,198263.90839194,450960.762964932,백화점
(주)그레아코리아,,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,,백화점
찰스볼 신세계백화점 본점,"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점 지하1층)",서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,198263.90839194,450960.762964932,백화점
에낭,"서울특별시 강동구 천호대로 1005, 현대백화점 지2층 (천호동)",서울특별시 강동구 천호동 572 현대백화점,210929.919693661,448537.406728283,백화점
라바즈,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지1층 (소공동)",서울특별시 중구 소공동 1 롯데백화점 본점 ,198259.65357739,451392.198218657,백화점
샤브퀴진,"서울특별시 중구 퇴계로 77, 지하1층 (충무로1가)",서울특별시 중구 충무로1가 54 ,198253.896034899,450905.28446798,백화점
플디,"서울특별시 중구 남대문로 81, 지하1층 (소공동)",서울특별시 중구 소공동 1 ,198259.65357739,451392.198218657,백화점
키쉬 미뇽,"서울특별시 중구 소공로 63, 신세계백화점 지하1층 (충무로1가)",서울특별시 중구 충무로1가 52-5 신세계백화점 ,198263.90839194,450960.762964932,백화점
kachi(율고떡방),"서울특별시 중구 남대문로 81, 롯데백화점 본점 지1층 (소공동)",서울특별시 중구 소공동 1 롯데백화점 본점 ,198259.65357739,451392.198218657,백화점
한입소반 롯데백화점 명동점,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",서울특별시 중구 소공동 1 롯데백화점 본점 ,198259.65357739,451392.198218657,백화점
에키노마에,"서울특별시 중구 소공로 63, 신세계백화점건물 지하1층 (충무로1가)",서울특별시 중구 충무로1가 52-5 신세계백화점건물 ,198263.90839194,450960.762964932,백화점
