gu,bjd,apt_name_raw,apt_name_clean,matched_name,matched_addr,matched_road,lat,lng,match_level,query
관악구,신림동,흥원,흥원,흥원아파트,서울 관악구 신림동 1478-37,서울 관악구 남부순환로144길 71,37.4781988686773,126.91348897589974,3,흥원 관악구 신림동
관악구,봉천동,관악청광플러스원,관악청광플러스원,관악청광플러스원아파트,서울 관악구 봉천동 1726,서울 관악구 은천로15길 16,37.487400523178394,126.94436925452874,3,관악청광플러스원 관악구 봉천동
관악구,봉천동,미소가,미소가,관악태우미소가아파트,서울 관악구 봉천동 30-8,서울 관악구 행운1마길 2,37.4839454954054,126.955838909966,3,미소가 관악구 봉천동
관악구,남현동,동송하이클래스(1071-3),동송하이클래스,동송하이클래스아파트(1071-3번지),서울 관악구 남현동 1071-3,서울 관악구 남부순환로256길 36,37.47410069786585,126.97242922320956,3,동송하이클래스 관악구 남현동
관악구,남현동,예성그린캐슬III,예성그린캐슬III,예성그린캐슬3차아파트,서울 관악구 남현동 1133,서울 관악구 남현길 141,37.471268255549525,126.97389986571466,3,예성그린캐슬III 관악구 남현동
관악구,봉천동,금강아미움(101동),금강아미움,청룡금강아미움아파트,서울 관악구 봉천동 1522-28,서울 관악구 장군봉1길 6,37.4818123963397,126.940520238377,3,금강아미움 관악구 봉천동
관악구,봉천동,삼정,삼정,삼정빌딩,서울 관악구 봉천동 1595-4,서울 관악구 관악로 112,37.4752731139146,126.953065186675,3,삼정 관악구 봉천동
관악구,신림동,래디앙아파트,래디앙아파트,래디앙아파트,서울 관악구 신림동 244-21,서울 관악구 대학5길 46,37.469262178610904,126.9404148795455,3,래디앙아파트 관악구 신림동
관악구,봉천동,금강아미움(106동),금강아미움,청룡금강아미움아파트,서울 관악구 봉천동 1522-28,서울 관악구 장군봉1길 6,37.4818123963397,126.940520238377,3,금강아미움 관악구 봉천동
관악구,신림동,신림2차현대,신림2차현대,서울 관악구 신림2차현대아파트 전기차충전소,서울 관악구 신림동 551-9,서울 관악구 조원중앙로 64,37.4844970728016,126.908898009974,3,신림2차현대 관악구 신림동
관악구,신림동,신림큐브,신림큐브,신림큐브,서울 관악구 신림동 1421-1,서울 관악구 신림로66길 42,37.48565972591745,126.93219990747814,3,신림큐브 관악구 신림동
