gu,dong,각종학교(고)수,각종학교(중)수,각종학교(초)수,고등기술학교수,고등학교수,공동실습소수,방송통신고등학교수,방송통신중학교수,외국인학교수,중학교수,초등학교수,특수학교수,평생학교(고)-2년6학기수,평생학교(고)-3년6학기수,평생학교(중)-2년6학기수,평생학교(초)-3년6학기수
성동구,옥수동,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
성동구,응봉동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
성동구,하왕십리동,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
성동구,행당동,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
성북구,길음동,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
성북구,돈암동,0,0,0,0,2,0,0,0,0,3,4,0,0,0,0,0
성북구,동소문동,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
성북구,보문동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
성북구,삼선동,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0
성북구,상월곡동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
성북구,석관동,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
성북구,성북동,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0
성북구,안암동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
성북구,장위동,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
성북구,정릉동,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0
성북구,종암동,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0
성북구,하월곡동,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
송파구,가락동,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0
송파구,거여동,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
송파구,마천동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
송파구,문정동,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
송파구,방이동,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,0
송파구,삼전동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
송파구,석촌동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
송파구,송파동,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0
송파구,신천동,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
송파구,오금동,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0
송파구,잠실동,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,0
송파구,장지동,0,0,0,0,1,0,0,0,0,2,3,1,1,1,1,1
송파구,풍납동,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0
양천구,목동,0,0,0,0,4,0,0,0,0,6,8,0,0,0,0,0
양천구,신월동,0,0,0,0,3,0,0,0,0,8,8,0,0,0,0,0
양천구,신정동,0,0,0,0,8,0,0,0,0,5,13,0,0,0,0,0
영등포구,당산동,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
영등포구,대림동,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
영등포구,도림동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
영등포구,문래동,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0
영등포구,신길동,0,0,0,1,3,0,0,0,0,2,6,0,0,0,0,1
영등포구,양평동,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0
영등포구,여의도동,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
영등포구,영등포동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
용산구,보광동,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
용산구,산천동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
용산구,서계동,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
용산구,서빙고동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
용산구,용산동,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0
용산구,이촌동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
용산구,이태원동,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
용산구,청파동,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
용산구,한남동,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
용산구,효창동,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
용산구,후암동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
은평구,신사동,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0
은평구,갈현동,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0
은평구,구산동,0,0,0,0,3,0,0,0,0,3,3,1,0,0,0,0
은평구,녹번동,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
은평구,대조동,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
은평구,불광동,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0
은평구,수색동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
은평구,역촌동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
은평구,응암동,1,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0
은평구,증산동,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
은평구,진관동,0,0,0,0,4,0,0,0,0,2,5,0,0,0,0,0
종로구,가회동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
종로구,경운동,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
종로구,계동,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
종로구,구기동,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
종로구,동숭동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
종로구,무악동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
종로구,사직동,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
종로구,송현동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
종로구,숭인동,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
종로구,신교동,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
종로구,신영동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
종로구,안국동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
종로구,운니동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
종로구,이화동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
종로구,창신동,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
종로구,청운동,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0
종로구,평창동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
종로구,필운동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
종로구,행촌동,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
종로구,혜화동,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0
종로구,홍지동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
종로구,효제동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
중구,남산동,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
중구,만리동,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
중구,명동,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
중구,순화동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
중구,신당동,1,0,0,0,5,0,0,0,0,5,6,0,0,0,0,0
중구,예장동,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
중구,정동,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
중구,흥인동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
중랑구,망우동,0,0,0,0,5,0,0,0,0,4,5,0,0,0,0,0
중랑구,망우본동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
중랑구,면목동,0,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0
중랑구,묵동,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
중랑구,상봉동,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
중랑구,신내동,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
중랑구,중화동,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0
