region,year,rank,feature,mean_abs_shap,pct
전체,2019,1,강남구분,0.11431343108415604,15.935785293579102
전체,2019,2,건물연령,0.10421872138977051,14.528539657592773
전체,2019,3,childcare_count_1000m,0.08191640675067902,11.419501304626465
전체,2019,4,department_nearest_m,0.05156312510371208,7.188122272491455
전체,2019,5,subway_count_1000m,0.044985331594944,6.271149635314941
전체,2019,6,academy_count_1000m,0.04402907192707062,6.137843132019043
전체,2019,7,subway_nearest_m,0.03762003406882286,5.2443952560424805
전체,2019,8,cctv_count_500m,0.0274235550314188,3.8229620456695557
전체,2019,9,hospital_general_nearest_m,0.027152977883815765,3.7852420806884766
전체,2019,10,층,0.025313908234238625,3.5288681983947754
전체,2020,1,건물연령,0.09640289098024368,13.18156623840332
전체,2020,2,강남구분,0.09423405677080154,12.88501262664795
전체,2020,3,childcare_count_1000m,0.061583634465932846,8.420584678649902
전체,2020,4,subway_count_1000m,0.04927254840731621,6.737239360809326
전체,2020,5,department_nearest_m,0.04531300440430641,6.195834636688232
전체,2020,6,academy_count_1000m,0.04282659292221069,5.855857849121094
전체,2020,7,subway_nearest_m,0.04211984574794769,5.759221076965332
전체,2020,8,층,0.033672034740448,4.604116916656494
전체,2020,9,M2,0.03348156437277794,4.578073024749756
전체,2020,10,cctv_count_500m,0.031247267499566078,4.272568225860596
전체,2021,1,강남구분,0.0890958309173584,12.970403671264648
전체,2021,2,건물연령,0.08172495663166046,11.89736557006836
전체,2021,3,childcare_count_1000m,0.05211401730775833,7.586660861968994
전체,2021,4,cctv_count_500m,0.046366963535547256,6.7500152587890625
전체,2021,5,academy_count_1000m,0.04302845150232315,6.26400089263916
전체,2021,6,department_nearest_m,0.04212286323308945,6.132167339324951
전체,2021,7,subway_count_1000m,0.04065915569663048,5.919083595275879
전체,2021,8,층,0.03619518131017685,5.269226551055908
전체,2021,9,subway_nearest_m,0.03479122370481491,5.064840793609619
전체,2021,10,elem_school_nearest_m,0.029847757890820503,4.345180511474609
전체,2022,1,강남구분,0.10542234778404236,14.827492713928223
전체,2022,2,건물연령,0.08955755829811096,12.596135139465332
전체,2022,3,cctv_count_500m,0.06023797020316124,8.472378730773926
전체,2022,4,childcare_count_1000m,0.05421772971749306,7.625641345977783
전체,2022,5,academy_count_1000m,0.04311734810471535,6.064389228820801
전체,2022,6,층,0.04112466052174568,5.784120559692383
전체,2022,7,department_nearest_m,0.03698768839240074,5.2022624015808105
전체,2022,8,elem_school_nearest_m,0.03437479957938194,4.834763526916504
전체,2022,9,subway_count_1000m,0.030971189960837364,4.356050968170166
전체,2022,10,기준금리,0.02963043935596943,4.167476177215576
전체,2023,1,강남구분,0.1241597831249237,17.89771842956543
전체,2023,2,건물연령,0.10156529396772385,14.640707015991211
전체,2023,3,childcare_count_1000m,0.0616033598780632,8.880167007446289
전체,2023,4,academy_count_1000m,0.05577481538057327,8.03997802734375
전체,2023,5,subway_count_1000m,0.041548263281583786,5.989210605621338
전체,2023,6,department_nearest_m,0.03333526477217674,4.805301189422607
전체,2023,7,subway_nearest_m,0.03216312453150749,4.636336326599121
전체,2023,8,hospital_general_nearest_m,0.03160538896918297,4.555938720703125
전체,2023,9,cctv_count_500m,0.030278921127319336,4.36472749710083
전체,2023,10,층,0.025164879858493805,3.627534866333008
전체,2024,1,강남구분,0.12104550004005432,16.8189640045166
전체,2024,2,건물연령,0.117224782705307,16.288084030151367
전체,2024,3,childcare_count_1000m,0.06947506964206696,9.653383255004883
전체,2024,4,academy_count_1000m,0.0541125163435936,7.518795490264893
전체,2024,5,subway_count_1000m,0.04973336309194565,6.910323619842529
전체,2024,6,department_nearest_m,0.032846227288246155,4.563899040222168
전체,2024,7,subway_nearest_m,0.03169912472367287,4.404512405395508
전체,2024,8,hospital_general_nearest_m,0.03100980632007122,4.308732986450195
전체,2024,9,cctv_count_500m,0.027748066931962967,3.855523109436035
전체,2024,10,층,0.023578625172376633,3.2761895656585693
전체,2025,1,건물연령,0.1304795891046524,16.726652145385742
전체,2025,2,강남구분,0.1093340739607811,14.0159330368042
전체,2025,3,childcare_count_1000m,0.0818929374217987,10.498153686523438
전체,2025,4,academy_count_1000m,0.06322769820690155,8.105387687683105
전체,2025,5,subway_count_1000m,0.05658677965402603,7.254065036773682
전체,2025,6,subway_nearest_m,0.03576662763953209,4.58505392074585
전체,2025,7,department_nearest_m,0.035116780549287796,4.5017476081848145
전체,2025,8,hospital_general_nearest_m,0.030409017577767372,3.898242235183716
전체,2025,9,cctv_count_500m,0.027452901005744934,3.519287109375
전체,2025,10,hospital_count_1000m,0.024636125192046165,3.1581943035125732
강남3구,2019,1,건물연령,0.10018058121204376,16.387311935424805
강남3구,2019,2,department_nearest_m,0.09220162779092789,15.082132339477539
강남3구,2019,3,childcare_count_1000m,0.08854097872972488,14.483333587646484
강남3구,2019,4,elem_school_nearest_m,0.043833184987306595,7.170133113861084
강남3구,2019,5,mart_nearest_m,0.03183652460575104,5.207746505737305
강남3구,2019,6,cctv_count_500m,0.028446324169635773,4.6531853675842285
강남3구,2019,7,hospital_general_nearest_m,0.026466600596904755,4.329346656799316
강남3구,2019,8,academy_nearest_m,0.02280540205538273,3.7304558753967285
강남3구,2019,9,subway_nearest_m,0.020087212324142456,3.285820722579956
강남3구,2019,10,층,0.019651269540190697,3.214510202407837
강남3구,2020,1,건물연령,0.1144074946641922,19.356962203979492
강남3구,2020,2,department_nearest_m,0.08201158046722412,13.8757963180542
강남3구,2020,3,childcare_count_1000m,0.06744830310344696,11.411788940429688
강남3구,2020,4,cctv_count_500m,0.03677459806203842,6.222009181976318
강남3구,2020,5,elem_school_nearest_m,0.030523836612701416,5.16442346572876
강남3구,2020,6,academy_count_1000m,0.026440486311912537,4.473548889160156
강남3구,2020,7,층,0.02569752372801304,4.34784460067749
강남3구,2020,8,park_nearest_m,0.024751823395490646,4.187838554382324
강남3구,2020,9,mart_nearest_m,0.024655211716890335,4.171492099761963
강남3구,2020,10,M2,0.023566534742712975,3.987295627593994
강남3구,2021,1,건물연령,0.10273846983909607,16.610422134399414
강남3구,2021,2,cctv_count_500m,0.08868609368801117,14.338479995727539
강남3구,2021,3,department_nearest_m,0.0699135959148407,11.3034029006958
강남3구,2021,4,childcare_count_1000m,0.05478290095925331,8.857121467590332
강남3구,2021,5,elem_school_nearest_m,0.045376066118478775,7.336255073547363
강남3구,2021,6,층,0.02707659639418125,4.37765645980835
강남3구,2021,7,hospital_general_nearest_m,0.02501475065946579,4.044303894042969
강남3구,2021,8,park_nearest_m,0.02482367679476738,4.013411521911621
강남3구,2021,9,academy_count_1000m,0.021822793409228325,3.528238296508789
강남3구,2021,10,mart_nearest_m,0.020753733813762665,3.355396270751953
강남3구,2022,1,건물연령,0.11446405947208405,17.873170852661133
강남3구,2022,2,department_nearest_m,0.10912671685218811,17.039762496948242
강남3구,2022,3,elem_school_nearest_m,0.061901528388261795,9.66571044921875
강남3구,2022,4,childcare_count_1000m,0.05930700525641441,9.260584831237793
강남3구,2022,5,park_nearest_m,0.035563573241233826,5.55312967300415
강남3구,2022,6,academy_nearest_m,0.033848777413368225,5.285370349884033
강남3구,2022,7,cctv_count_500m,0.031714729964733124,4.952146053314209
강남3구,2022,8,mart_nearest_m,0.03034907393157482,4.738903522491455
강남3구,2022,9,층,0.030165961012244225,4.710310935974121
강남3구,2022,10,기준금리,0.020077882334589958,3.135092258453369
강남3구,2023,1,hospital_general_nearest_m,0.08576327562332153,15.428847312927246
강남3구,2023,2,건물연령,0.07466968148946762,13.43310546875
강남3구,2023,3,childcare_count_1000m,0.06737710535526276,12.12116813659668
강남3구,2023,4,academy_nearest_m,0.054596684873104095,9.821965217590332
강남3구,2023,5,department_nearest_m,0.0511055625975132,9.193910598754883
강남3구,2023,6,소비자물가지수,0.025942780077457428,4.667116641998291
강남3구,2023,7,elem_school_nearest_m,0.02493484877049923,4.4857892990112305
강남3구,2023,8,cctv_count_500m,0.023240195587277412,4.180920600891113
강남3구,2023,9,academy_count_1000m,0.02087666280567646,3.7557199001312256
강남3구,2023,10,층,0.020599503070116043,3.7058589458465576
