변수,VIF
학교수,129.44186487701592
기준금리,121.46847785381881
CD금리,102.34425415224929
소비자물가지수,93.02420563561044
M2,40.15946803758287
초등학교수,29.148361186535702
고등학교수,26.92747219371331
중학교수,23.165211889373523
강남구분,4.730370379106011
백화점수,2.7583133845056444
공원수,1.3102240333280835
건물연령,1.1095213404635398
전용면적,1.0756456830115915
층,1.061815401226267
