변수,강남3구,비강남,차이
전용면적,40686.6,21359.7,19326.9
층,5986.5,3063.2,2923.3
건물연령,21809.3,11070.2,10739.2
강남구분,51943.0,10747.6,41195.4
초등학교수,7180.3,4115.7,3064.7
중학교수,3187.3,5069.1,-1881.8
고등학교수,1937.9,1516.3,421.6
공원수,3123.4,4181.7,-1058.3
백화점수,12113.8,4828.5,7285.3
기준금리,1641.8,1079.1,562.7
CD금리,3150.0,1978.8,1171.2
소비자물가지수,10293.1,4581.9,5711.2
M2,10985.6,8529.4,2456.3
