전용면적,층,건물연령,강남구분,초등학교수,중학교수,고등학교수,공원수,백화점수,기준금리,CD금리,소비자물가지수,M2
20182.727,-962.0293,-4757.6206,-7719.7266,18226.55,37152.99,4443.768,11348.654,14167.287,-1698.1384,-2586.5369,8752.569,14551.487
-21638.172,-6643.7085,-11142.308,-8160.078,-1986.7411,-4391.541,96.2808,-5072.182,-3326.5085,-192.64143,-2364.7754,-4597.1987,-10313.514
-13926.678,-5192.0464,-11902.671,-8270.794,-2659.2402,-731.0363,-3235.033,1103.4829,1652.2611,872.12616,1142.3685,-3783.0266,-7656.718
-8218.615,4612.233,-7607.012,-15369.516,4013.7747,-5428.9624,-4523.271,-10333.091,-2551.1348,-1204.4547,-1563.3411,5532.103,9296.712
9866.845,-2282.081,-3905.9592,-10957.64,7808.1016,19917.883,4365.864,2266.5286,7072.243,-2233.9407,-844.3647,13572.618,15589.327
6449.3823,-6316.641,9588.048,-10161.774,-4045.2722,-829.8867,-1998.3877,4003.2046,-12461.665,845.21173,1216.3219,-4544.865,-11490.3955
10170.054,277.356,6517.3857,-11280.102,11120.151,-2005.1787,1070.7885,7306.057,1194.6455,-1852.8324,-2782.9092,5881.317,13430.317
-63795.434,459.5188,21164.041,-9395.108,2146.0012,12375.1455,-455.37592,-4802.932,1058.2638,619.07294,983.8892,-3549.1892,-5580.651
-5447.6313,-5792.5674,-6081.5635,-8733.298,11553.456,-1112.5157,1194.6001,3933.4375,-789.9551,-221.26993,-1864.5137,-4962.1353,-13797.809
-8316.976,1462.3259,-8339.644,-9031.315,-2317.4087,6683.7764,1308.9146,-1653.0829,9996.03,737.2991,1976.6654,-3341.2114,-9927.754
-15365.537,9019.466,-13870.926,-10402.777,-1382.9076,514.595,-2140.3845,3039.8372,4552.764,2420.4504,4489.976,4522.986,8932.066
29696.035,-7571.51,18968.875,-10351.08,8230.66,26801.988,1415.1466,5391.8267,5321.587,846.3789,2668.5188,-7424.3213,-9176.397
-5709.3086,1334.2788,-12504.741,-7438.2627,5150.557,11314.584,2887.2883,1820.2642,3381.2139,754.05115,2122.384,-4072.1929,-10979.9
-5968.981,-687.9308,-780.36786,-12240.604,-4920.131,-14316.961,1035.8772,-187.26312,-4938.203,1201.2559,1553.2797,-4155.5015,-8084.421
25275.174,1895.9039,5451.6143,58505.973,-3075.6287,248.54205,393.89163,5002.793,7821.753,-1857.0912,-1156.8644,10887.622,15891.911
28699.37,6922.526,-2716.6685,55602.406,-10602.834,-3779.3367,-986.4989,4816.6855,8143.605,-2951.6946,-1774.498,8355.778,11494.657
11897.153,3722.6528,-9693.596,-11107.542,-1950.3994,-4887.727,644.1782,-5367.897,-1514.0614,1088.7577,805.6912,-4816.088,-10874.407
55190.03,1946.2717,-15717.977,-11949.193,-5990.349,10879.633,2133.6875,494.12454,13770.193,-1790.7539,-449.18085,15818.436,14453.201
1739.5769,-2386.7983,34604.434,-12343.413,-662.2141,2247.091,113.07258,8598.057,-1887.8983,-1122.9584,-1489.0651,12244.847,13236.797
-11349.088,735.3553,18232.207,-13275.093,-5517.117,-1241.3362,-3032.05,1758.9133,2102.4885,-2651.5847,-4163.5317,-1455.2654,2941.309
22267.139,1950.698,-9710.392,-11069.428,-4290.413,-4943.715,-271.3373,-7043.7764,-6164.029,934.801,656.2498,-5090.788,-11449.962
-90672.46,-10084.98,15344.825,47179.06,3373.274,-1216.8273,-1490.4398,1729.542,12635.331,-1412.4786,-310.86377,11178.414,12924.102
6608.6343,1633.7906,1938.055,-13514.811,-819.95435,-1186.7603,793.9031,-5244.2964,-3344.7114,-396.32562,-3962.551,-4449.1743,-15030.264
-16983.082,-5.5915084,4368.8423,-8252.072,-2548.0232,-1781.4489,-1115.7627,-6323.4663,-3376.2188,-2929.818,-4832.624,2550.5232,5961.8833
150612.55,-6169.6284,-49523.56,40234.14,2175.461,-3337.9849,-3884.6099,-309.82245,9638.752,341.7273,927.3507,-27383.14,-16364.018
-88424.07,201.55424,-31176.72,39585.04,-2444.706,-3182.1626,-1046.9265,34.888977,-2346.0273,-1573.7125,-1358.2988,4352.756,6170.229
11453.8125,-3088.2297,29473.71,-14213.364,-1953.0143,-1427.6726,-2725.1611,4836.4023,-16463.592,-1483.7069,-5599.898,5992.7334,10136.335
41370.137,-3572.1436,-13571.546,-13500.554,3422.833,-5260.864,1758.3346,-5855.2427,-5304.1304,786.53937,2750.076,2154.1821,7079.7856
-12609.761,1625.9575,-9721.151,-10421.684,-3564.6423,-3176.7434,451.14218,527.1709,-11966.357,-1529.7976,-3365.8792,4557.933,7714.2183
-27505.88,1301.0288,2657.4827,-9350.394,-3243.918,-1205.1426,-1873.4996,-5000.6104,-4161.2812,338.04156,-1157.4493,5042.0923,7586.5664
