구,법정동,아파트명,행정동,구_spatial,행정동_spatial,adm_nm
강남구,개포동,우찬현대(1260-11),개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,우찬현대(1260-4),개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,포이벨리,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,한림,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,현대,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,현대1차101동~106동,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,현대2,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,현대아파트3,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,논현동,e-편한세상,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,거평프리젠,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,경남논현,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,골든캐슬,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,그랑디오스,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,네오빌,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,논현동월드메르디앙,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현동프라임,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현동한화꿈에그린,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,논현라폴리움,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현베르빌,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현빌라트,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현아이파크,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현아트빌,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현웰스톤,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현인텔(9-2),논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,논현파라곤,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,논현프라임아파트,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,논현한가람빌라트,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,더그레이스,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,더원센트럴,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,동부센트레빌,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,동양파라곤,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,동현아파트1~6,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,두산위브1단지,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,두산위브2단지,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,두영,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,라이헤스빌,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,로체샤르캐슬,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,마블하우스,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,마일스디오빌,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,벨러스빌,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,브라운스톤,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,브라이튼N40,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,비쥬힐,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
강남구,논현동,삼성빌라트,논현1동,강남구,논현2동,서울특별시 강남구 논현2동
강남구,논현동,세호시티라이프,논현1동,강남구,논현1동,서울특별시 강남구 논현1동
